"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.266321799E0,-1.739501953E-2,-4.302978516E-3,-3.329467773E-2,3.781055268E-2
1.271296165E0,-1.953125000E-3,-3.234863281E-3,-3.915405273E-2,3.933597442E-2
1.276270530E0,1.615905762E-2,-1.113891602E-3,-4.341125488E-2,4.633457616E-2
1.281275413E0,3.108215332E-2,-4.577636719E-5,-5.087280273E-2,5.961664540E-2
1.286280295E0,4.545593262E-2,2.090454102E-3,-5.833435059E-2,7.398316205E-2
1.291285178E0,5.664062500E-2,4.226684570E-3,-6.259155273E-2,8.452057582E-2
1.296290061E0,6.463623047E-2,5.813598633E-3,-6.578063965E-2,9.240526376E-2
1.301294944E0,6.410217285E-2,4.745483398E-3,-6.419372559E-2,9.084295560E-2
1.306269309E0,5.824279785E-2,4.226684570E-3,-6.205749512E-2,8.521279871E-2
1.311274192E0,4.971313477E-2,4.226684570E-3,-5.673217773E-2,7.554998757E-2
1.316248557E0,3.640747070E-2,4.882812500E-4,-5.300903320E-2,6.430940789E-2
1.321253440E0,2.255249023E-2,-4.577636719E-5,-4.608154297E-2,5.130424460E-2
1.326258323E0,6.042480469E-3,-3.234863281E-3,-4.287719727E-2,4.342153793E-2
1.331263206E0,-8.865356445E-3,-2.700805664E-3,-3.808593750E-2,3.919728985E-2
1.336237571E0,-2.325439453E-2,-6.439208984E-3,-3.594970703E-2,4.329678640E-2
1.341242454E0,-2.964782715E-2,-7.492065430E-3,-3.594970703E-2,4.719646316E-2
1.346247336E0,-3.283691406E-2,-8.026123047E-3,-3.489685059E-2,4.858468645E-2
1.351252219E0,-3.550720215E-2,-4.302978516E-3,-3.861999512E-2,5.263820904E-2
1.356226584E0,-3.550720215E-2,-6.958007812E-3,-4.447937012E-2,5.733750643E-2
1.361231467E0,-3.123474121E-2,-5.905151367E-3,-4.927062988E-2,5.863509905E-2
1.366236350E0,-2.697753906E-2,-4.302978516E-3,-5.513000488E-2,6.152739777E-2
1.371241233E0,-1.846313477E-2,-4.837036133E-3,-6.205749512E-2,6.492624249E-2
1.376215598E0,-1.367187500E-2,-1.632690430E-3,-7.005310059E-2,7.139343629E-2
1.381220481E0,-8.346557617E-3,-4.577636719E-5,-7.537841797E-2,7.583912589E-2
1.386194846E0,-6.744384766E-3,2.090454102E-3,-7.749938965E-2,7.782038371E-2
1.391199729E0,-4.074096680E-3,4.882812500E-4,-7.696533203E-2,7.707463277E-2
1.396174094E0,-3.005981445E-3,4.882812500E-4,-7.217407227E-2,7.223829352E-2
1.401178977E0,-8.850097656E-4,3.692626953E-3,-6.898498535E-2,6.908941265E-2
1.406183860E0,1.831054688E-4,4.745483398E-3,-6.791687012E-2,6.808270255E-2
1.411188743E0,-1.953125000E-3,3.158569336E-3,-6.259155273E-2,6.270162463E-2
